name,latitude,longitude,threshold,event_date,geps_init_date,lead_time_days,event_flag,amd_tmp_min,percentile
Honbetsu,43.133400,143.562300,3.0,2025-04-23,2025-04-20,3,1,2.90,48.9
Honbetsu,43.133400,143.562300,3.0,2025-04-24,2025-04-20,4,0,5.80,18.9
Honbetsu,43.133400,143.562300,3.0,2025-04-25,2025-04-20,5,1,2.60,18.4
Honbetsu,43.133400,143.562300,3.0,2025-04-26,2025-04-20,6,1,-1.50,0.0
Honbetsu,43.133400,143.562300,3.0,2025-04-27,2025-04-20,7,1,-0.60,1.1
Honbetsu,43.133400,143.562300,3.0,2025-04-28,2025-04-20,8,1,-2.50,0.1
Honbetsu,43.133400,143.562300,3.0,2025-04-29,2025-04-20,9,1,0.60,5.3
Honbetsu,43.133400,143.562300,3.0,2025-04-30,2025-04-20,10,1,0.80,6.9
Honbetsu,43.133400,143.562300,3.0,2025-05-01,2025-04-20,11,1,0.40,2.1
Honbetsu,43.133400,143.562300,3.0,2025-05-02,2025-04-20,12,0,3.90,16.2
Honbetsu,43.133400,143.562300,3.0,2025-05-03,2025-04-20,13,0,8.10,11.7
Honbetsu,43.133400,143.562300,3.0,2025-05-04,2025-04-20,14,0,6.20,10.6
Honbetsu,43.133400,143.562300,3.0,2025-05-05,2025-04-20,15,0,3.80,7.9
Honbetsu,43.133400,143.562300,3.0,2025-05-06,2025-04-20,16,1,0.00,0.9
Date,42.493500,140.866200,-1.0,2025-04-20,2025-04-20,0,0,6.60,0.0
Date,42.493500,140.866200,-1.0,2025-04-21,2025-04-20,1,0,4.50,0.0
Date,42.493500,140.866200,-1.0,2025-04-22,2025-04-20,2,0,3.20,0.0
Date,42.493500,140.866200,-1.0,2025-04-23,2025-04-20,3,0,5.70,0.0
Date,42.493500,140.866200,-1.0,2025-04-24,2025-04-20,4,0,8.00,0.0
Date,42.493500,140.866200,-1.0,2025-04-25,2025-04-20,5,0,4.70,0.0
Date,42.493500,140.866200,-1.0,2025-04-26,2025-04-20,6,0,1.20,0.0
Date,42.493500,140.866200,-1.0,2025-04-27,2025-04-20,7,0,3.60,0.0
Date,42.493500,140.866200,-1.0,2025-04-28,2025-04-20,8,0,0.90,0.0
Date,42.493500,140.866200,-1.0,2025-04-29,2025-04-20,9,0,5.20,0.0
Date,42.493500,140.866200,-1.0,2025-04-30,2025-04-20,10,0,2.40,0.0
Date,42.493500,140.866200,-1.0,2025-05-01,2025-04-20,11,0,0.30,0.0
Date,42.493500,140.866200,-1.0,2025-05-02,2025-04-20,12,0,9.20,0.0
Date,42.493500,140.866200,-1.0,2025-05-03,2025-04-20,13,0,8.50,0.0
Date,42.493500,140.866200,-1.0,2025-05-04,2025-04-20,14,0,5.60,0.0
